PID: 2, TP: 2123, CP: 2124, Estado: BLOQUEADO, NES: 20, N_CPU: 20
PID: 3, TP: 2378, CP: 2379, Estado: BLOQUEADO, NES: 20, N_CPU: 20
PID: 4, TP: 1772, CP: 1773, Estado: BLOQUEADO, NES: 20, N_CPU: 20
PID: 5, TP: 1723, CP: 1724, Estado: BLOQUEADO, NES: 20, N_CPU: 20
PID: 7, TP: 2424, CP: 2425, Estado: BLOQUEADO, NES: 20, N_CPU: 20
PID: 8, TP: 1839, CP: 1840, Estado: BLOQUEADO, NES: 20, N_CPU: 20
PID: 9, TP: 1963, CP: 1964, Estado: BLOQUEADO, NES: 20, N_CPU: 20
PID: 0, TP: 2355, CP: 2356, Estado: BLOQUEADO, NES: 21, N_CPU: 21
PID: 1, TP: 2317, CP: 2318, Estado: BLOQUEADO, NES: 21, N_CPU: 21
PID: 2, TP: 2335, CP: 2336, Estado: BLOQUEADO, NES: 21, N_CPU: 21
PID: 3, TP: 2467, CP: 2468, Estado: BLOQUEADO, NES: 21, N_CPU: 21
PID: 4, TP: 1890, CP: 1891, Estado: BLOQUEADO, NES: 21, N_CPU: 21
PID: 5, TP: 1746, CP: 1747, Estado: BLOQUEADO, NES: 21, N_CPU: 21
PID: 7, TP: 2452, CP: 2453, Estado: BLOQUEADO, NES: 21, N_CPU: 21
PID: 8, TP: 2026, CP: 2027, Estado: BLOQUEADO, NES: 21, N_CPU: 21
PID: 9, TP: 2036, CP: 2037, Estado: BLOQUEADO, NES: 21, N_CPU: 21
PID: 0, TP: 2422, CP: 2423, Estado: BLOQUEADO, NES: 22, N_CPU: 22
PID: 1, TP: 2390, CP: 2391, Estado: BLOQUEADO, NES: 22, N_CPU: 22
PID: 2, TP: 2354, CP: 2355, Estado: BLOQUEADO, NES: 22, N_CPU: 22
PID: 3, TP: 2611, CP: 2612, Estado: BLOQUEADO, NES: 22, N_CPU: 22
PID: 4, TP: 1981, CP: 1982, Estado: BLOQUEADO, NES: 22, N_CPU: 22
PID: 5, TP: 1961, CP: 1962, Estado: BLOQUEADO, NES: 22, N_CPU: 22
PID: 7, TP: 2521, CP: 2522, Estado: BLOQUEADO, NES: 22, N_CPU: 22
PID: 8, TP: 2047, CP: 2048, Estado: BLOQUEADO, NES: 22, N_CPU: 22
PID: 9, TP: 2119, CP: 2120, Estado: BLOQUEADO, NES: 22, N_CPU: 22
PID: 0, TP: 2427, CP: 2428, Estado: BLOQUEADO, NES: 23, N_CPU: 23
PID: 1, TP: 2460, CP: 2461, Estado: BLOQUEADO, NES: 23, N_CPU: 23
PID: 2, TP: 2605, CP: 2606, Estado: BLOQUEADO, NES: 23, N_CPU: 23
PID: 3, TP: 2639, CP: 2640, Estado: BLOQUEADO, NES: 23, N_CPU: 23
PID: 4, TP: 2176, CP: 2177, Estado: BLOQUEADO, NES: 23, N_CPU: 23
PID: 5, TP: 2083, CP: 2084, Estado: BLOQUEADO, NES: 23, N_CPU: 23
PID: 7, TP: 2609, CP: 2610, Estado: BLOQUEADO, NES: 23, N_CPU: 23
PID: 8, TP: 2350, CP: 2351, Estado: BLOQUEADO, NES: 23, N_CPU: 23
PID: 9, TP: 2137, CP: 2138, Estado: BLOQUEADO, NES: 23, N_CPU: 23
PID: 0, TP: 2580, CP: 2581, Estado: BLOQUEADO, NES: 24, N_CPU: 24
PID: 1, TP: 2539, CP: 2540, Estado: BLOQUEADO, NES: 24, N_CPU: 24
PID: 2, TP: 2757, CP: 2758, Estado: BLOQUEADO, NES: 24, N_CPU: 24
PID: 3, TP: 2728, CP: 2729, Estado: BLOQUEADO, NES: 24, N_CPU: 24
PID: 4, TP: 2244, CP: 2245, Estado: BLOQUEADO, NES: 24, N_CPU: 24
PID: 5, TP: 2087, CP: 2088, Estado: BLOQUEADO, NES: 24, N_CPU: 24
PID: 7, TP: 2710, CP: 2711, Estado: BLOQUEADO, NES: 24, N_CPU: 24
PID: 8, TP: 2369, CP: 2370, Estado: BLOQUEADO, NES: 24, N_CPU: 24
PID: 9, TP: 2192, CP: 2193, Estado: BLOQUEADO, NES: 24, N_CPU: 24
PID: 0, TP: 2599, CP: 2600, Estado: BLOQUEADO, NES: 25, N_CPU: 25
PID: 1, TP: 2562, CP: 2563, Estado: BLOQUEADO, NES: 25, N_CPU: 25
PID: 2, TP: 3001, CP: 3002, Estado: BLOQUEADO, NES: 25, N_CPU: 25
PID: 3, TP: 2738, CP: 2739, Estado: BLOQUEADO, NES: 25, N_CPU: 25
PID: 4, TP: 2297, CP: 2298, Estado: BLOQUEADO, NES: 25, N_CPU: 25
PID: 5, TP: 2192, CP: 2193, Estado: BLOQUEADO, NES: 25, N_CPU: 25
PID: 7, TP: 2723, CP: 2724, Estado: BLOQUEADO, NES: 25, N_CPU: 25
PID: 8, TP: 2399, CP: 2400, Estado: BLOQUEADO, NES: 25, N_CPU: 25
PID: 9, TP: 2229, CP: 2230, Estado: BLOQUEADO, NES: 25, N_CPU: 25
PID: 0, TP: 2704, CP: 2705, Estado: BLOQUEADO, NES: 26, N_CPU: 26
PID: 1, TP: 2585, CP: 2586, Estado: BLOQUEADO, NES: 26, N_CPU: 26
PID: 2, TP: 3227, CP: 3228, Estado: BLOQUEADO, NES: 26, N_CPU: 26
PID: 3, TP: 2847, CP: 2848, Estado: BLOQUEADO, NES: 26, N_CPU: 26
PID: 4, TP: 2478, CP: 2479, Estado: BLOQUEADO, NES: 26, N_CPU: 26
PID: 5, TP: 2214, CP: 2215, Estado: BLOQUEADO, NES: 26, N_CPU: 26
PID: 7, TP: 2787, CP: 2788, Estado: BLOQUEADO, NES: 26, N_CPU: 26
PID: 8, TP: 2422, CP: 2423, Estado: BLOQUEADO, NES: 26, N_CPU: 26
PID: 9, TP: 2340, CP: 2341, Estado: BLOQUEADO, NES: 26, N_CPU: 26
PID: 0, TP: 2706, CP: 2707, Estado: BLOQUEADO, NES: 27, N_CPU: 27
PID: 1, TP: 2709, CP: 2710, Estado: BLOQUEADO, NES: 27, N_CPU: 27
PID: 2, TP: 3470, CP: 3471, Estado: BLOQUEADO, NES: 27, N_CPU: 27
PID: 3, TP: 2880, CP: 2881, Estado: BLOQUEADO, NES: 27, N_CPU: 27
PID: 4, TP: 2513, CP: 2514, Estado: BLOQUEADO, NES: 27, N_CPU: 27
PID: 5, TP: 2253, CP: 2254, Estado: BLOQUEADO, NES: 27, N_CPU: 27
PID: 7, TP: 2899, CP: 2900, Estado: BLOQUEADO, NES: 27, N_CPU: 27
PID: 8, TP: 2630, CP: 2631, Estado: BLOQUEADO, NES: 27, N_CPU: 27
PID: 9, TP: 2400, CP: 2401, Estado: BLOQUEADO, NES: 27, N_CPU: 27
PID: 0, TP: 2870, CP: 2871, Estado: BLOQUEADO, NES: 28, N_CPU: 28
PID: 1, TP: 2731, CP: 2732, Estado: BLOQUEADO, NES: 28, N_CPU: 28
PID: 2, TP: 3514, CP: 3515, Estado: BLOQUEADO, NES: 28, N_CPU: 28
PID: 3, TP: 2939, CP: 2940, Estado: BLOQUEADO, NES: 28, N_CPU: 28
PID: 4, TP: 2537, CP: 2538, Estado: BLOQUEADO, NES: 28, N_CPU: 28
PID: 5, TP: 2372, CP: 2373, Estado: BLOQUEADO, NES: 28, N_CPU: 28
PID: 7, TP: 2927, CP: 2928, Estado: BLOQUEADO, NES: 28, N_CPU: 28
PID: 8, TP: 2767, CP: 2768, Estado: BLOQUEADO, NES: 28, N_CPU: 28
PID: 9, TP: 2491, CP: 2492, Estado: BLOQUEADO, NES: 28, N_CPU: 28
PID: 0, TP: 2997, CP: 2998, Estado: BLOQUEADO, NES: 29, N_CPU: 29
PID: 1, TP: 2775, CP: 2776, Estado: BLOQUEADO, NES: 29, N_CPU: 29
PID: 2, TP: 3524, CP: 3525, Estado: BLOQUEADO, NES: 29, N_CPU: 29
PID: 3, TP: 3000, CP: 3001, Estado: EXECUTANDO, NES: 28, N_CPU: 29
PID: 4, TP: 2649, CP: 2650, Estado: BLOQUEADO, NES: 29, N_CPU: 29
PID: 5, TP: 2459, CP: 2460, Estado: BLOQUEADO, NES: 29, N_CPU: 29
PID: 7, TP: 2940, CP: 2941, Estado: BLOQUEADO, NES: 29, N_CPU: 29
PID: 8, TP: 2831, CP: 2832, Estado: BLOQUEADO, NES: 29, N_CPU: 29
PID: 9, TP: 2501, CP: 2502, Estado: BLOQUEADO, NES: 29, N_CPU: 29
PID: 0, TP: 3078, CP: 3079, Estado: BLOQUEADO, NES: 30, N_CPU: 30
PID: 1, TP: 2812, CP: 2813, Estado: BLOQUEADO, NES: 30, N_CPU: 30
PID: 2, TP: 3719, CP: 3720, Estado: BLOQUEADO, NES: 30, N_CPU: 30
PID: 4, TP: 2670, CP: 2671, Estado: BLOQUEADO, NES: 30, N_CPU: 30
PID: 5, TP: 2645, CP: 2646, Estado: BLOQUEADO, NES: 30, N_CPU: 30
PID: 7, TP: 3041, CP: 3042, Estado: BLOQUEADO, NES: 30, N_CPU: 30
PID: 8, TP: 2834, CP: 2835, Estado: BLOQUEADO, NES: 30, N_CPU: 30
PID: 9, TP: 2580, CP: 2581, Estado: BLOQUEADO, NES: 30, N_CPU: 30
PID: 0, TP: 3198, CP: 3199, Estado: BLOQUEADO, NES: 31, N_CPU: 31
PID: 1, TP: 2927, CP: 2928, Estado: BLOQUEADO, NES: 31, N_CPU: 31
PID: 2, TP: 3812, CP: 3813, Estado: BLOQUEADO, NES: 31, N_CPU: 31
PID: 4, TP: 2716, CP: 2717, Estado: BLOQUEADO, NES: 31, N_CPU: 31
PID: 5, TP: 3005, CP: 3006, Estado: BLOQUEADO, NES: 31, N_CPU: 31
PID: 7, TP: 3112, CP: 3113, Estado: BLOQUEADO, NES: 31, N_CPU: 31
PID: 8, TP: 2896, CP: 2897, Estado: BLOQUEADO, NES: 31, N_CPU: 31
PID: 9, TP: 2619, CP: 2620, Estado: BLOQUEADO, NES: 31, N_CPU: 31
PID: 0, TP: 3265, CP: 3266, Estado: BLOQUEADO, NES: 32, N_CPU: 32
